Date,Close/Last,Open,High,Low
10/15/2025,22670.08,22738.50,22841.69,22427.79
10/14/2025,22521.70,22388.04,22691.07,22213.73
10/13/2025,22694.61,22578.67,22718.75,22499.49
10/10/2025,22204.43,23043.52,23119.91,22193.07
10/09/2025,23024.63,23045.33,23062.62,22899.16
10/08/2025,23043.38,22852.32,23045.14,22845.42
10/07/2025,22788.36,22972.37,23006.07,22718.76
10/06/2025,22941.67,22894.35,22991.72,22827.56
10/03/2025,22780.51,22886.16,22925.43,22695.82
10/02/2025,22844.05,22885.90,22900.60,22729.75
10/01/2025,22755.16,22530.95,22782.58,22516.74
09/30/2025,22660.01,22580.36,22671.39,22493.96
09/29/2025,22591.15,22605.30,22704.90,22536.06
09/26/2025,22484.07,22403.27,22488.18,22285.44
09/25/2025,22384.70,22318.77,22456.78,22185.87
09/24/2025,22497.85,22656.02,22657.45,22397.00
09/23/2025,22573.47,22782.72,22785.13,22539.04
09/22/2025,22788.98,22606.59,22801.90,22590.86
09/19/2025,22631.48,22554.32,22645.11,22497.71
09/18/2025,22470.73,22439.11,22540.93,22358.49
09/17/2025,22261.33,22333.02,22339.54,22058.92
09/16/2025,22333.96,22397.50,22397.50,22308.78
09/15/2025,22348.75,22243.20,22352.25,22233.00
09/12/2025,22141.10,22078.63,22182.34,22031.62
09/11/2025,22043.07,21977.51,22059.71,21908.81
09/10/2025,21886.06,21980.60,22000.97,21810.84
09/09/2025,21879.49,21858.17,21891.42,21731.48
09/08/2025,21798.70,21806.22,21885.62,21776.24
09/05/2025,21700.39,21860.44,21878.81,21534.73
09/04/2025,21707.69,21539.91,21711.96,21469.40
09/03/2025,21497.73,21461.63,21553.98,21370.98
09/02/2025,21279.63,21086.58,21293.69,21033.05
08/29/2025,21455.55,21630.33,21631.15,21397.98
08/28/2025,21705.16,21619.27,21742.46,21534.94
08/27/2025,21590.14,21526.33,21616.17,21476.30
08/26/2025,21544.27,21443.63,21550.92,21389.10
08/25/2025,21449.29,21466.47,21572.18,21400.08
08/22/2025,21496.53,21139.83,21545.43,21092.35
08/21/2025,21100.31,21112.52,21198.76,21013.53
08/20/2025,21172.86,21269.67,21269.67,20905.99
08/19/2025,21314.95,21607.45,21610.24,21277.71
08/18/2025,21629.77,21616.82,21651.50,21559.33
08/15/2025,21622.98,21709.34,21716.18,21567.46
08/14/2025,21710.67,21649.21,21766.29,21627.13
08/13/2025,21713.14,21764.55,21803.75,21645.14
08/12/2025,21681.90,21507.44,21689.68,21386.25
08/11/2025,21385.40,21459.65,21549.73,21346.62
08/08/2025,21450.02,21316.37,21464.53,21284.97
08/07/2025,21242.70,21325.01,21408.15,21090.05
08/06/2025,21169.42,20955.22,21183.88,20937.49
08/05/2025,20916.55,21092.10,21138.72,20893.29
08/04/2025,21053.58,20853.91,21055.24,20833.86
08/01/2025,20650.13,20830.64,20865.63,20560.17
07/31/2025,21122.45,21457.48,21457.48,21078.67
07/30/2025,21129.67,21140.40,21230.88,21016.92
07/29/2025,21098.29,21286.73,21303.96,21081.69
07/28/2025,21178.58,21176.40,21202.18,21122.12
07/25/2025,21108.32,21059.94,21159.80,21036.85
07/24/2025,21057.96,21083.82,21113.10,21001.68
07/23/2025,21020.02,20966.47,21023.85,20870.67
07/22/2025,20892.68,20982.21,20985.34,20750.90
07/21/2025,20974.17,20960.33,21077.37,20957.44
07/18/2025,20895.66,20959.57,20980.56,20846.12
07/17/2025,20885.65,20760.32,20911.83,20735.55
07/16/2025,20730.49,20717.81,20751.05,20507.06
07/15/2025,20677.80,20822.76,20836.04,20670.58
07/14/2025,20640.33,20592.56,20672.34,20492.63
07/11/2025,20585.53,20562.88,20647.98,20509.75
07/10/2025,20630.66,20636.48,20655.39,20495.14
07/09/2025,20611.34,20522.09,20645.41,20486.38
07/08/2025,20418.46,20466.93,20480.89,20377.35
07/07/2025,20412.52,20490.55,20511.82,20323.02
07/03/2025,20601.10,20497.66,20624.51,20480.22
07/02/2025,20393.13,20184.37,20397.22,20181.74
07/01/2025,20202.89,20290.61,20339.05,20105.42
06/30/2025,20369.73,20360.15,20418.31,20266.36
06/27/2025,20273.46,20217.26,20311.51,20095.05
