date,dxy
2019-01-02,96.82
2019-01-03,96.31
2019-01-04,96.19
2019-01-07,95.71
2019-01-08,95.9
2019-01-09,95.22
2019-01-10,95.54
2019-01-11,95.67
2019-01-14,95.59
2019-01-15,95.97
2019-01-16,96.06
2019-01-17,96.07
2019-01-18,96.34
2019-01-22,96.3
2019-01-23,96.12
2019-01-24,96.6
2019-01-25,95.79
2019-01-28,95.75
2019-01-29,95.82
2019-01-30,95.34
2019-01-31,95.58
2019-02-01,95.58
2019-02-04,95.85
2019-02-05,96.1
2019-02-06,96.42
2019-02-07,96.51
2019-02-08,96.64
2019-02-11,97.06
2019-02-12,96.71
2019-02-13,97.13
2019-02-14,96.98
2019-02-15,96.92
2019-02-19,96.52
2019-02-20,96.45
2019-02-21,96.61
2019-02-22,96.51
2019-02-25,96.41
2019-02-26,96
2019-02-27,96.15
2019-02-28,96.16
2019-03-01,96.53
2019-03-04,96.68
2019-03-05,96.85
2019-03-06,96.87
2019-03-07,97.67
2019-03-08,97.37
2019-03-11,97.22
2019-03-12,96.94
2019-03-13,96.55
2019-03-14,96.79
2019-03-15,96.6
2019-03-18,96.52
2019-03-19,96.38
2019-03-20,95.76
2019-03-21,96.5
2019-03-22,96.65
2019-03-25,96.57
2019-03-26,96.74
2019-03-27,96.77
2019-03-28,97.2
2019-03-29,97.28
2019-04-01,97.25
2019-04-02,97.36
2019-04-03,97.09
2019-04-04,97.31
2019-04-05,97.4
2019-04-08,97.05
2019-04-09,97.01
2019-04-10,96.95
2019-04-11,97.18
2019-04-12,96.97
2019-04-15,96.94
2019-04-16,97.04
2019-04-17,97.01
2019-04-18,97.47
2019-04-22,97.28
2019-04-23,97.57
2019-04-24,98.1
2019-04-25,98.2
2019-04-26,98.01
2019-04-29,97.86
2019-04-30,97.48
2019-05-01,97.69
2019-05-02,97.83
2019-05-03,97.52
2019-05-06,97.52
2019-05-07,97.63
2019-05-08,97.62
2019-05-09,97.37
2019-05-10,97.33
2019-05-13,97.32
2019-05-14,97.53
2019-05-15,97.57
2019-05-16,97.84
2019-05-17,98
2019-05-20,97.93
2019-05-21,98.06
2019-05-22,98.11
2019-05-23,97.85
2019-05-24,97.61
2019-05-28,97.96
2019-05-29,98.14
2019-05-30,98.14
2019-05-31,97.75
2019-06-03,97.14
2019-06-04,97.07
2019-06-05,97.37
2019-06-06,97.03
2019-06-07,96.61
2019-06-10,96.76
2019-06-11,96.69
2019-06-12,97
2019-06-13,97.01
2019-06-14,97.57
2019-06-17,97.56
2019-06-18,97.64
2019-06-19,97.12
2019-06-20,96.63
2019-06-21,96.22
2019-06-24,95.98
2019-06-25,96.16
2019-06-26,96.21
2019-06-27,96.19
2019-06-28,96.13
2019-07-01,96.84
2019-07-02,96.73
2019-07-03,96.77
2019-07-05,97.25
2019-07-08,97.38
2019-07-09,97.49
2019-07-10,97.1
2019-07-11,97.05
2019-07-12,96.81
2019-07-15,96.93
2019-07-16,97.4
2019-07-17,97.22
2019-07-18,96.79
2019-07-19,97.15
2019-07-22,97.26
2019-07-23,97.71
2019-07-24,97.73
2019-07-25,97.82
2019-07-26,98.01
2019-07-29,98.04
2019-07-30,98.05
2019-07-31,98.52
2019-08-01,98.39
2019-08-02,98.1
2019-08-05,97.5
2019-08-06,97.63
2019-08-07,97.54
2019-08-08,97.62
2019-08-09,97.49
2019-08-12,97.38
2019-08-13,97.81
2019-08-14,97.99
2019-08-15,98.14
2019-08-16,98.14
2019-08-19,98.35
2019-08-20,98.19
2019-08-21,98.3
2019-08-22,98.17
2019-08-23,97.64
2019-08-26,98.08
2019-08-27,98
2019-08-28,98.21
2019-08-29,98.51
2019-08-30,98.92
2019-09-03,98.95
2019-09-04,98.45
2019-09-05,98.41
2019-09-06,98.39
2019-09-09,98.28
2019-09-10,98.33
2019-09-11,98.65
2019-09-12,98.31
2019-09-13,98.26
2019-09-16,98.65
2019-09-17,98.26
2019-09-18,98.6
2019-09-19,98.27
2019-09-20,98.51
2019-09-23,98.6
2019-09-24,98.34
2019-09-25,99.04
2019-09-26,99.21
2019-09-27,99.11
2019-09-30,99.38
2019-10-01,99.13
2019-10-02,99.04
2019-10-03,98.86
2019-10-04,98.81
2019-10-07,98.99
2019-10-08,99.14
2019-10-09,99.12
2019-10-10,98.71
2019-10-11,98.3
2019-10-14,98.45
2019-10-15,98.29
2019-10-16,98.01
2019-10-17,97.61
2019-10-18,97.28
2019-10-21,97.33
2019-10-22,97.53
2019-10-23,97.47
2019-10-24,97.63
2019-10-25,97.83
2019-10-28,97.76
2019-10-29,97.69
2019-10-30,97.65
2019-10-31,97.35
2019-11-01,97.24
2019-11-04,97.51
2019-11-05,97.98
2019-11-06,97.95
2019-11-07,98.14
2019-11-08,98.35
2019-11-11,98.2
2019-11-12,98.31
2019-11-13,98.37
2019-11-14,98.16
2019-11-15,98
2019-11-18,97.79
2019-11-19,97.86
2019-11-20,97.93
2019-11-21,97.99
2019-11-22,98.27
2019-11-25,98.32
2019-11-26,98.25
2019-11-27,98.41
2019-11-29,98.27
2019-12-02,97.86
2019-12-03,97.74
2019-12-04,97.65
2019-12-05,97.41
2019-12-06,97.7
