date,close_usd,volume
2012-01-01,4.84,10
2012-01-02,5,10.1
2012-01-03,5.29,107.08528091999999
2012-01-04,5.57,107.23326023
2012-01-05,6.42,70.32874237000001
2012-01-06,6.4,55.8558336
2012-01-07,6.8,2.79585799
2012-01-08,6.9,4
2012-01-09,6.48,64.86932290000004
2012-01-10,7.1,60.691940960000004
2012-01-11,7,93.32697324000006
2012-01-12,6.51,98.93163181
2012-01-13,6.9,33.62682051
2012-01-14,6.4,27.943324329999996
2012-01-15,7.15,20.935300699999996
2012-01-16,7.1,12.64929577
2012-01-17,6.9,11.246376810000001
2012-01-18,7.1,202.71440054999994
2012-01-19,6.01,158.46598447
2012-01-20,6.95,184.07583311000002
2012-01-21,6.95,0
2012-01-22,6.83,162.03488543999998
2012-01-23,6.52,95.57062909000001
2012-01-24,6.55,85.44624147
2012-01-25,6,80.72325639999998
2012-01-26,6.27,16.75896173
2012-01-27,5.88,105.64010171999995
2012-01-28,4.91,0.25
2012-01-29,5.9,1.8548464299999998
2012-01-30,5.58,22.380000000000003
2012-01-31,5.55,104.71833334000002
2012-02-01,5.99,13.55244574
2012-02-02,6.26,123.58263763000008
2012-02-03,6.29,283.38210611999995
2012-02-04,6.5,67.69499409
2012-02-05,5.7,49.86668412
2012-02-06,5.9,26.36207817
2012-02-07,5.51,151.42474559000001
2012-02-08,5.66,57.96134674
2012-02-09,5.87,102.19951034
2012-02-10,5.88,202.9255288999999
2012-02-11,5.5,1.8794878
2012-02-12,5.55,34.6
2012-02-13,5.79,130.02787142
2012-02-14,4.56,123.83811213000001
2012-02-15,4.69,72.29598749999998
2012-02-16,4.98,94.61323754
2012-02-17,4.69,262.18826113000006
2012-02-18,4.38,252.88296387000003
2012-02-19,4.38,97.68354434
2012-02-20,4.4,248.54444347999998
2012-02-21,4.53,411.35990367
2012-02-22,4.57,58.87620649
2012-02-23,5,376.57464815000003
2012-02-24,5.12,400.41279153999994
2012-02-25,5,126.17775679
2012-02-26,4.96,29.2
2012-02-27,5.1,310.75231410999993
2012-02-28,4.71,358.30227545
2012-02-29,4.99,292.4471984500001
2012-03-01,5.03,242.94781425999997
2012-03-02,4.79,335.92023816
2012-03-03,4.65,125.91831513999999
2012-03-04,4.81,113.60841529999999
2012-03-05,5,341.1867002999999
2012-03-06,4.99,214.97053982999998
2012-03-07,5.01,607.3887395799999
2012-03-08,5,315.34447305
2012-03-09,5.07,306.23962038
2012-03-10,4.94,121.24892825999999
2012-03-11,5,24.682526090000003
2012-03-12,4.98,104.65346353000001
2012-03-13,5.28,723.7660632100001
2012-03-14,5.27,1144.73937297
2012-03-15,5.37,588.9555446400001
2012-03-16,5.39,182.43484486
2012-03-17,5.42,163.34873287
2012-03-18,5.24,379.63915352
2012-03-19,4.97,264.57868600999996
2012-03-20,4.8,416.95535546000013
2012-03-21,4.96,55.76862903
2012-03-22,4.8,281.88118083999996
2012-03-23,4.78,507.65999869999996
2012-03-24,4.72,0.7
2012-03-25,4.54,206.31208124000003
2012-03-26,4.68,63.664559970000006
2012-03-27,4.73,363.18985534000007
2012-03-28,4.87,423.28450509
2012-03-29,4.77,46.57341797
2012-03-30,4.88,228.08447863
2012-03-31,4.92,153.98004768000004
2012-04-01,4.89,312.89960073
2012-04-02,5.03,872.82662744
2012-04-03,4.95,117.46626534
2012-04-04,4.91,432.33188182000004
2012-04-05,4.9,170.51246242000002
