ticker,date,open,high,low,close
SYRUP,2022-08-23,16.877,17.3917,16.7348,17.1421
SYRUP,2022-08-24,17.52,18.2,17.45,18.1
SYRUP,2022-08-25,18.0229,18.8378,18.0212,18.3936
SYRUP,2022-08-26,18.3922,38.8027,18.3581,18.3654
SYRUP,2022-08-27,18.3654,18.7413,17.6117,18.19
SYRUP,2022-08-28,18.51,18.57,17.79,17.83
SYRUP,2022-08-29,17.84,18.21,16.51,17.73
SYRUP,2022-08-30,17.7,18.3431,17.62,18.3424
SYRUP,2022-08-31,18.4166,18.4654,17.772,18.4637
SYRUP,2022-09-01,18.67,18.85,18.03,18.25
SYRUP,2022-09-02,18.1,18.15,17.763,17.9849
SYRUP,2022-09-03,17.853,18.87,17.7781,18.6385
SYRUP,2022-09-04,18.75,19.4,18.68,19.04
SYRUP,2022-09-05,19.13,19.6509,18.7,19.4084
SYRUP,2022-09-06,19.4103,19.8988,18.8566,18.8585
SYRUP,2022-09-07,18.6713,20.3168,18.55,19.9952
SYRUP,2022-09-08,20.5023,23.6292,20.1184,23.6292
SYRUP,2022-09-09,23.3991,24.3406,22.2691,23.0251
SYRUP,2022-09-10,23.0246,23.7858,23.0246,23.782
SYRUP,2022-09-11,23.68,23.7,22.24,23.01
SYRUP,2022-09-12,23.01,23.34,22.63,22.93
SYRUP,2022-09-13,22.93,23.02,20.89,21.2
SYRUP,2022-09-14,21.18,22.26,21.18,22.09
SYRUP,2022-09-15,22.07,22.07,21.31,21.86
SYRUP,2022-09-16,21.9,21.91,20.42,21.04
SYRUP,2022-09-17,21.04,21.7,20.52,21.69
SYRUP,2022-09-18,21.7,22.6,21.08,21.08
SYRUP,2022-09-19,21.08,21.1,19.86,19.97
SYRUP,2022-09-20,20.05,20.05,18.64,19.05
SYRUP,2022-09-21,19.19,19.53,18.11,18.1944
SYRUP,2022-09-22,18.1195,18.86,18.1177,18.72
SYRUP,2022-09-23,18.42,18.49,17.56,18.45
SYRUP,2022-09-24,18.48,19.25,17.68,18.98
SYRUP,2022-09-25,18.91,19.09,18.74,18.8
SYRUP,2022-09-26,18.44,18.89,17.89,18.67
SYRUP,2022-09-27,18.67,18.95,18.04,18.32
SYRUP,2022-09-28,18.34,18.58,17.3,17.43
SYRUP,2022-09-29,17.47,17.48,17.1,17.33
SYRUP,2022-09-30,17.56,18.03,17.55,17.97
SYRUP,2022-10-01,17.96,18.45,17.95,18.19
SYRUP,2022-10-02,18.178,18.221,17.79,17.95
SYRUP,2022-10-03,17.95,17.98,17.81,17.93
SYRUP,2022-10-04,17.93,18.42,17.85,18.37
SYRUP,2022-10-05,18.34,18.35,17.48,17.9
SYRUP,2022-10-06,17.88,17.92,17.36,17.36
SYRUP,2022-10-07,17.36,17.46,17.09,17.24
SYRUP,2022-10-08,17.2491,17.2581,16.9685,17.0623
SYRUP,2022-10-09,17.2197,17.2197,16.695,16.7924
SYRUP,2022-10-10,16.6563,16.756,16.3164,16.3164
SYRUP,2022-10-11,16.2034,16.2034,15.5526,15.66
SYRUP,2022-10-12,15.65,15.77,15.55,15.6533
SYRUP,2022-10-13,15.6248,15.6523,15.106,15.3
SYRUP,2022-10-14,15.3,15.96,15.3,15.73
SYRUP,2022-10-15,15.71,16.76,15.63,15.84
SYRUP,2022-10-16,15.9,16.3,15.61,15.61
SYRUP,2022-10-17,15.65,15.71,15.03,15.04
SYRUP,2022-10-18,15.0308,15.1324,14.9194,15.0568
SYRUP,2022-10-19,14.74,14.79,14.6,14.77
SYRUP,2022-10-20,14.68,14.71,13.73,14.27
SYRUP,2022-10-21,14.43,14.52,14.29,14.31
SYRUP,2022-10-22,14.41,14.43,14.14,14.4
SYRUP,2022-10-23,14.1086,14.3144,14.0901,14.2853
SYRUP,2022-10-24,14.3174,14.4129,14.2154,14.3734
SYRUP,2022-10-25,14.309,16.0303,14.2061,15.14
SYRUP,2022-10-26,15.08,16.19,15.03,15.63
SYRUP,2022-10-27,15.64,16.2302,14.7916,14.7916
SYRUP,2022-10-28,15.1002,15.1011,14.62,15.0752
SYRUP,2022-10-29,14.97,15.7413,14.79,14.9222
SYRUP,2022-10-30,14.9227,15.2035,14.8247,14.8591
SYRUP,2022-10-31,14.7981,14.9005,14.1529,14.23
SYRUP,2022-11-01,14.21,14.32,13.99,14.11
SYRUP,2022-11-02,14.11,14.2,13.39,13.44
SYRUP,2022-11-03,13.6366,14.3196,13.533,14.3196
SYRUP,2022-11-04,14.3186,14.3186,13.6413,13.998
SYRUP,2022-11-05,13.94,14.05,13.66,13.66
SYRUP,2022-11-06,13.62,13.67,12.92,13.05
SYRUP,2022-11-07,13.09,13.38,12.94,13.25
SYRUP,2022-11-08,13.3883,13.3883,10.46,11.0526
SYRUP,2022-11-09,10.7276,10.7319,7.5658,7.78487
SYRUP,2022-11-10,7.75796,9.51279,7.60395,8.6735
SYRUP,2022-11-11,8.39,8.83,7.72,7.84
SYRUP,2022-11-12,8.09,8.48,7.82,7.97
SYRUP,2022-11-13,8.02,8.73,7.73,8.52
SYRUP,2022-11-14,8.37,9.0,7.85,8.56
SYRUP,2022-11-15,8.72,9.25,8.33,9.1
SYRUP,2022-11-16,8.78866,9.33584,8.5529,8.55624
SYRUP,2022-11-17,8.66354,9.8,8.56223,9.53
SYRUP,2022-11-18,9.56,9.91,8.77,8.94
SYRUP,2022-11-19,8.85,9.3,8.71,9.06
SYRUP,2022-11-20,8.99,9.10442,8.72,8.7917
SYRUP,2022-11-21,8.82756,8.9492,8.34905,8.40091
SYRUP,2022-11-22,8.37885,8.63562,8.31235,8.48255
SYRUP,2022-11-23,8.4486,8.57969,7.90742,8.42472
SYRUP,2022-11-24,8.40742,9.50563,7.06242,8.7241
SYRUP,2022-11-25,6.88339,10.0176,6.8827,8.49
SYRUP,2022-11-26,8.48,8.58,8.41,8.44
SYRUP,2022-11-27,8.38,10.9525,7.63696,8.75474
SYRUP,2022-11-28,8.66332,8.66332,7.98852,8.22339
SYRUP,2022-11-29,7.83,7.83,6.7,6.98
SYRUP,2022-11-30,6.99,7.49,6.36,6.58
SYRUP,2022-12-01,6.58,6.83,6.52,6.66
SYRUP,2022-12-02,6.67,6.97028,6.23394,6.90041
SYRUP,2022-12-03,6.89521,7.87279,6.64653,6.87269
SYRUP,2022-12-04,7.03,7.30619,6.75,6.88
SYRUP,2022-12-05,6.33,6.47,4.8,5.55
SYRUP,2022-12-06,5.5,5.87,4.5,4.74
SYRUP,2022-12-07,4.75,4.92,4.38,4.53
SYRUP,2022-12-08,4.55,4.64,4.22,4.35
SYRUP,2022-12-09,4.4,4.67,4.35,4.37
SYRUP,2022-12-10,4.37,4.37,4.03,4.18
SYRUP,2022-12-11,4.18,4.28,4.09,4.11
SYRUP,2022-12-12,4.32643,4.59446,3.86446,4.02036
SYRUP,2022-12-13,4.02136,4.10037,3.36016,3.7611
SYRUP,2022-12-14,3.7621,4.55618,3.55486,4.20725
SYRUP,2022-12-15,3.926,4.13683,3.68874,3.68874
SYRUP,2022-12-16,3.80676,3.87939,3.301,3.36767
SYRUP,2022-12-17,3.43569,3.99964,3.29139,3.99964
SYRUP,2022-12-18,3.99912,3.99916,3.23032,3.25339
SYRUP,2022-12-19,3.41,3.82015,3.23,3.23413
SYRUP,2022-12-20,3.23303,3.84919,3.22603,3.61625
SYRUP,2022-12-21,3.28,3.94,3.2,3.42
SYRUP,2022-12-22,3.41,3.43,3.16,3.2
SYRUP,2022-12-23,3.40645,3.50361,3.12,3.17
SYRUP,2022-12-24,3.17,3.37,3.14,3.22781
SYRUP,2022-12-25,3.23184,3.38949,3.08954,3.22852
SYRUP,2022-12-26,3.23964,3.26867,2.95744,3.1863
SYRUP,2022-12-27,3.14443,3.37529,2.96281,3.10585
SYRUP,2022-12-28,3.23045,3.50432,3.04902,3.11426
SYRUP,2022-12-29,3.06843,3.22938,2.94764,2.94764
SYRUP,2022-12-30,3.03061,3.12631,2.84957,2.97445
SYRUP,2022-12-31,3.04651,3.04651,2.6436,2.78761
SYRUP,2023-01-01,2.82859,2.86257,2.65575,2.75579
SYRUP,2023-01-02,2.65378,3.27,2.63989,3.12
SYRUP,2023-01-03,3.12,3.34,2.9,2.94
SYRUP,2023-01-04,2.95185,3.22265,2.72988,2.90104
SYRUP,2023-01-05,2.93803,3.07277,2.91815,3.01391
SYRUP,2023-01-06,3.06893,3.56725,2.94585,3.06311
SYRUP,2023-01-07,3.27255,3.96727,3.01906,3.23999
SYRUP,2023-01-08,3.14556,3.53936,2.79334,3.08954
SYRUP,2023-01-09,3.08944,3.77,2.87834,3.53
SYRUP,2023-01-10,3.44997,4.75,3.44997,4.69
SYRUP,2023-01-11,4.81,6.2,4.32,4.63
SYRUP,2023-01-12,4.62,5.43,4.61,5.17
SYRUP,2023-01-13,5.10041,5.19012,4.6814,4.75047
SYRUP,2023-01-14,5.16,5.25,4.75,5.12
SYRUP,2023-01-15,5.05,5.1,4.76,5.07
SYRUP,2023-01-16,5.12549,5.57723,4.9521,4.9861
SYRUP,2023-01-17,5.00715,6.5,4.95645,5.95
SYRUP,2023-01-18,5.95,6.2,5.19,5.21
SYRUP,2023-01-19,5.24,5.82,5.19,5.65
SYRUP,2023-01-20,5.65,5.89,5.25,5.89
SYRUP,2023-01-21,5.9,6.04,5.56,5.64
SYRUP,2023-01-22,5.84193,6.02721,5.62,5.91006
SYRUP,2023-01-23,5.78,6.46,5.66179,6.4
SYRUP,2023-01-24,6.36,6.42,5.98,6.06
SYRUP,2023-01-25,5.89,6.53,5.78,6.18
SYRUP,2023-01-26,6.13,6.39,6.02,6.27
SYRUP,2023-01-27,6.28,6.65,6.16,6.41
SYRUP,2023-01-28,6.44748,6.66573,6.21,6.31
SYRUP,2023-01-29,6.32,6.7182,6.24,6.69747
SYRUP,2023-01-30,6.5762,7.07242,6.157,6.25644
SYRUP,2023-01-31,6.34032,6.42861,6.10063,6.26856
SYRUP,2023-02-01,6.25731,6.77634,6.22619,6.75947
SYRUP,2023-02-02,6.7572,7.37,6.50756,7.04
SYRUP,2023-02-03,7.01,7.24,6.73,7.22
SYRUP,2023-02-04,7.17,7.25,6.88,7.09
SYRUP,2023-02-05,7.09464,7.24772,6.7,6.98
SYRUP,2023-02-06,6.95,7.5,6.84,7.05
SYRUP,2023-02-07,7.13,8.38,7.01,8.23
SYRUP,2023-02-08,8.2,8.52,7.26,7.43
